word,sense,n_insts,f1_micro_1nn_ru,f1_weighted_1nn_ru,f1_macro_1nn_ru,f1_micro_1nn_m,f1_weighted_1nn_m,f1_macro_1nn_m,f1_micro__ft_ru,f1_weighted__ft_ru,f1_macro__ft_ru,f1_micro_ft_m,f1_weighted_ft_m,f1_macro_ft_m
действие,dejstvie_(АКТИВНОСТЬ),8,0.875,0.875,0.8,0.875,0.875,0.667,0.875,0.875,0.467,0.875,0.875,0.452
действие,dejstvie_(СЮЖЕТ),5,0.8,0.8,0.737,0.8,0.8,0.609,0.4,0.4,0.5,0.6,0.6,0.667
действие,dejstvie_(АРИФМЕТИЧЕСКОЕ),3,0.666667,0.666667,0.8,0.666667,0.666667,0.8,0.333,0.333,0.5,0.667,0.667,0.8
действие,dejstvie_(ФУНКЦИЯ),18,0.888889,0.888889,0.889,0.611111,0.611111,0.8,0.556,0.556,0.714,0.444,0.444,0.615
действие,dejstvie_(АКТ_ДРАМЫ),3,0.666667,0.666667,0.889,0.666667,0.666667,0.733,0.0,0.0,0.0,0.0,0.0,0.0
действие,ALL,37,0.837838,0.842,0.823,0.702703,0.715,0.722,0.541,0.556,0.4362,0.541,0.552,0.5068
дело,delo_(ЗАНЯТИЕ_ДЕЯТЕЛЬНОСТЬ),18,0.833333,0.833333,0.714,0.833333,0.833333,0.714,0.944,0.944,0.791,0.833,0.833,0.769
дело,delo_(СФЕРА_ДЕЯТЕЛЬНОСТИ),12,0.5,0.5,0.2,0.416667,0.416667,0.4,0.583,0.583,0.667,0.667,0.667,0.696
дело,delo_(СУДЕБНОЕ_ДЕЛО),18,0.888889,0.888889,0.941,0.833333,0.833333,0.882,0.944,0.944,0.971,0.944,0.944,0.971
дело,delo_(СИТУАЦИЯ_ПОЛОЖЕНИЕ_ВЕЩЕЙ),5,0.2,0.2,0.6,0.4,0.4,0.5,0.0,0.0,0.0,0.2,0.2,0.222
дело,ALL,53,0.716981,0.717,0.614,0.698113,0.693,0.624,0.774,0.749,0.6072500000000001,0.774,0.77,0.6645
день,den'_(ДНЕВНОЕ_ВРЕМЯ),4,1.0,1.0,0.757,0.75,0.75,0.737,0.0,0.0,0.0,0.5,0.5,0.5
день,den'_(СУТКИ_КАЛЕНДАРНЫЙ_ДЕНЬ),22,0.681818,0.681818,0.5,0.681818,0.681818,0.429,0.727,0.727,0.667,0.727,0.727,0.727
день,den'_(ДАТА),20,0.7,0.7,0.769,0.7,0.7,0.75,0.7,0.7,0.718,0.7,0.7,0.7
день,ALL,46,0.717391,0.74,0.675,0.695652,0.716,0.638,0.652,0.631,0.4616666666666666,0.696,0.696,0.6423333333333333
диск,disk_(ФОРМА_ПРЕДМЕТ),12,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.857,1.0,1.0,0.889
диск,disk_(ЛАЗЕРНЫЙ_ДИСК),5,0.8,0.8,0.8,0.8,0.8,0.889,0.4,0.4,0.571,0.6,0.6,0.75
диск,disk_(ЖЕСТКИЙ_ДИСК),1,0.0,0.0,0.96,0.0,0.0,0.923,0.0,0.0,0.0,0.0,0.0,0.0
диск,ALL,18,0.888889,0.862,0.587,0.888889,0.862,0.604,0.778,0.73,0.476,0.833,0.801,0.5463333333333333
документ,dokument_(УДОСТОВЕРЕНИЕ_КОРОЧКА),6,1.0,1.0,0.6,0.5,0.5,0.5,0.667,0.667,0.615,0.0,0.0,0.0
документ,dokument_(СВИДЕТЕЛЬСТВО),5,0.6,0.6,0.545,0.6,0.6,0.462,0.6,0.6,0.545,0.8,0.8,0.5
документ,dokument_(ПИСЬМЕННАЯ_ДОКУМЕНТАЦИЯ),6,0.5,0.5,0.923,0.5,0.5,0.667,0.5,0.5,0.6,0.5,0.5,0.5
документ,ALL,17,0.705882,0.698,0.69,0.529412,0.548,0.543,0.588,0.589,0.5866666666666667,0.412,0.324,0.3333333333333333
доля,dolja_(УЧАСТЬ_СУДЬБА),5,0.6,0.6,0.667,0.2,0.2,0.2,0.2,0.2,0.333,0.2,0.2,0.333
доля,dolja_(ЧАСТЬ),14,0.928571,0.928571,0.897,0.714286,0.714286,0.714,1.0,1.0,0.875,1.0,1.0,0.875
доля,ALL,19,0.842105,0.836,0.782,0.578947,0.579,0.457,0.789,0.732,0.604,0.789,0.732,0.604
дом,dom_(ЗДАНИЕ),11,0.818182,0.818182,0.818,0.909091,0.909091,0.8,0.909,0.909,0.87,1.0,1.0,0.759
дом,dom_(СВОЕ_ЖИЛЬЕ),9,0.777778,0.777778,0.875,0.777778,0.777778,0.824,1.0,1.0,0.783,0.778,0.778,0.824
дом,dom_(УЧРЕЖДЕНИЕ),5,0.4,0.4,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
дом,dom_(СЕКТР_АСТРОЛОГИЧЕСКОЙ_ДИАГРАММЫ),1,0.0,0.0,0.4,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0
